year,cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
2000,95.1,1.0515247108307046,Oromocto,MPSA,9194,9325,0.01153451912034864,526196969,553309115.6677183,57232.64835762454,60181.54401432655,1039760.0,999338,1312032,0,9705,172790,1524048,349910,0,189085,1013182,1181960.0,824410,0,8616220.0,6069429,898542,290355,1027496,153055,63703,0,113640,8616220
2000,95.1,1.0515247108307046,Paquetville,PPSA,731,688,0.01174375521395687,24034050,25272397.476340696,32878.31737346101,34572.36316872872,126759.0,62866,61332,0,0,0,87780,27000,0,5400,13000,49055.0,0,2961,436153.0,282250,60230,86473,0,7200,0,0,0,436153
2000,95.1,1.0515247108307046,Perth-Andover,PPSA,1861,1877,0.01230000013058018,70454796,74084958.99053629,37858.56851155293,39809.22030657512,172091.0,160046,108300,37000,1500,3600,202000,99650,0,82900,221626,169460.0,122251,0,1380424.0,866594,189529,162477,2000,66000,0,93000,824,1380424
2000,95.1,1.0515247108307046,Petit-Rocher,municipal,2078,1988,0.01281332713683665,58028488,61018389.06414302,27925.162656400385,29363.99858717181,151705.0,267143,45384,50000,0,9559,213246,91058,0,34072,116782,90831.0,32700,0,1102480.0,743538,276429,63452,10000,2736,0,0,6325,1102480
2000,95.1,1.0515247108307046,Petitcodiac,PPSA,1425,1342,0.01262845721644083,51474142,54126332.28180863,36122.2049122807,37983.391074953426,122140.0,122550,63500,0,1000,3500,409150,47850,0,16000,158660,84620.0,45000,0,1073970.0,650039,199239,76050,100500,32350,0,0,15792,1073970
2000,95.1,1.0515247108307046,Plaster Rock,PPSA,1220,1246,0.01184608925472999,45207240,47536529.968454264,37055.11475409836,38964.36882660186,146211.0,104920,52896,10000,0,2400,144905,66700,0,69481,157059,99462.0,0,6566,860600.0,535529,131420,102091,51938,39022,600,0,0,860600
2000,95.1,1.0515247108307046,Pointe-Verte,municipal,1122,1193,0.01320001297602679,20036950,21069348.054679286,17858.24420677362,18778.385075471735,192050.0,120246,13845,0,0,5161,122341,41721,0,7935,3060,10706.0,0,0,517065.0,264488,165087,49322,7200,27360,0,3000,608,517065
2000,95.1,1.0515247108307046,Port Elgin,PPSA,445,490,0.01367990774200429,14729997,15488955.835962147,33101.11685393258,34806.642328004826,69250.0,38700,61000,12350,0,3000,98300,18692,0,15457,18500,34966.0,0,0,370215.0,201505,71303,72973,0,8000,0,0,16434,370215
2000,95.1,1.0515247108307046,Quispamsis,municipal,13521,8446,0.01120613578255676,478361150,503008569.92639333,35379.12506471415,37202.02425311688,546179.0,1264863,833824,0,117819,72456,1412772,43750,0,69260,1222773,1068369.0,272485,0,6924550.0,5360580,992529,65562,307068,153579,45000,0,232,6924550
2000,95.1,1.0515247108307046,Rexton,PPSA,908,940,0.01158498635289738,35928139,37779325.97266036,39568.43502202643,41607.18719455987,113821.0,78088,50053,0,1000,3800,210939,42000,0,38327,54300,33076.0,0,0,625404.0,416227,84464,85612,0,24900,4992,0,9209,625404
2000,95.1,1.0515247108307046,Richibucto,PPSA,1414,1469,0.01249699733769487,60113320,63210641.43007361,42512.95615275813,44703.423925087416,186060.0,226090,58705,0,1000,1900,156300,79000,0,156300,210200,119300.0,37260,0,1232115.0,751236,155271,61155,231495,17760,0,10000,5198,1232115
2000,95.1,1.0515247108307046,Riverside-Albert,PPSA,415,485,0.0109812019771475,10580900,11126077.812828602,25496.14457831325,26809.82605500868,47320.0,35690,32200,0,0,1500,48135,17625,0,12300,22000,6700.0,8300,0,231770.0,116191,45504,45592,16000,650,0,0,7833,231770
2000,95.1,1.0515247108307046,Riverview,MPSA,16653,16270,0.01497758282258754,593127750,623688485.8044164,35616.87083408395,37452.01980450468,980757.0,1851834,1210963,500000,280168,201511,1866946,471589,0,346445,1834636,1814713.0,500000,148723,12008285.0,8883620,1601976,239700,523089,470800,289100,0,0,12008285
